t,u_ib,E_p,E_p_err,factor,factor_err,exponent,r2
0.07,1.0,0.5972355465556634,0.0034848008962914487,0.3374555781999548,0.018158773386886085,-0.5,0.9842107980088418
0.07,1.5,0.6437855177669339,0.0052703840298407995,0.4502950333490636,0.027522592197812046,-0.5,0.9829353519942953
0.075,-1.5,-2.3764354596918027,0.004124987852622739,0.5123229770430057,0.021676810944948603,-0.5,0.9815442231880389
0.075,-1.0,-1.3452710733877857,0.0022618128224173757,0.2378350523884501,0.011931336534676054,-0.5,0.982335158566351
0.075,-0.5,-0.567813407802312,0.0006233640471457372,0.04540072327236461,0.003264294796224204,-0.5,0.9813906159151803
0.075,0.0,0.0,0.0,0.0,0.0,-0.5,0.981820974704862
0.075,0.5,0.4217218260375296,0.0004905091507313787,0.06032287708642607,0.0025920038603313403,-0.5,0.9818660872339632
0.075,1.0,0.6108417696325573,0.0031226932040630028,0.2681356251291923,0.016378737382605833,-0.5,0.9818920644194886
0.075,1.5,0.669550671966299,0.004726971255313765,0.37263920568964115,0.02473363797675757,-0.5,0.9817921827091004
0.045,-2.0,-3.329432846817306,0.002455268520145724,0.05517327910478673,0.01541115158895215,-0.5,0.9831192306947215
0.045,-1.8,-2.776016809607784,0.0002729959246191002,-0.06344921406328179,0.001697353352071285,-0.5,0.9841172910665624
0.045,-1.6,-2.3217536559680143,0.00040300781782636944,-0.03289554357290055,0.0025085673890877782,-0.5,0.9852598549571759
0.045,-1.4,-1.9055883465327148,0.00029835966782907437,-0.021146397724499576,0.001856902866080318,-0.5,0.9864423709883738
0.045,-1.2,-1.501308599361797,3.767445757506987e-6,-0.0567742918038785,2.3130096100783185e-5,-0.5,0.9897262523237421
0.045,-0.8,-0.8381122165151846,0.0006565093662501731,-0.0592385948800196,0.00401431089940834,-0.5,0.9907893744900036
0.045,-0.6,-0.6155320606306655,0.0002617787407047063,-0.017370214483542774,0.0016085605500495647,-0.5,0.9897742644621195
0.045,-0.4,-0.40563800696551583,7.141129596498175e-5,-0.006160260493106495,0.0004369540251596267,-0.5,0.9908835184787564
0.045,-0.2,-0.20139458531955784,4.4972151955733867e-5,-0.0007260766678496492,0.00027491364492869877,-0.5,0.9910552071353476
0.045,0.2,0.19868857835078216,1.583429495364043e-5,-0.0014040938334488003,9.696740884705702e-5,-0.5,0.9905380911409749
0.045,0.4,0.39413164035937087,0.00018594382279145462,-0.0073070694076142065,0.0011410583980219957,-0.5,0.9902934739585068
0.045,0.6,0.5834040120347088,0.00038995284267203436,-0.028877801910972258,0.002385505564212367,-0.5,0.9907786794093788
0.045,0.8,0.7485230727089156,0.0005287552789322063,-0.13087106735149084,0.0032454162451282667,-0.5,0.9897907099299442
0.045,1.2,0.7702477569125908,0.0009205734930248793,0.09433933322448665,0.00564725389959624,-0.5,0.9905361899681724
0.045,1.4,0.7731154321447523,0.001073956022037961,0.11704846943659639,0.00660447540747513,-0.5,0.9892848627021634
0.045,1.6,0.775414608557299,0.001160683093489549,0.12935811983759943,0.007140539885965138,-0.5,0.988984381666269
0.045,1.8,0.777648655163774,0.0013449282240057597,0.1347549470053959,0.008226717471066212,-0.5,0.9897684020657905
