m,t,n,u_ib,E_no_imp,E_imp,Ep,Z
3,0.066,1.0,0.2,-0.7326820863362195,-0.5388207811598257,0.19386130517639377,0.9966632564893219
3,0.067,0.7777777777777778,0.2,-1.129244448800204,-0.9886768687836416,0.14056758001656244,0.9878036698956394
3,0.067,1.0,0.2,-0.754742831403805,-0.5610739983050776,0.1936688330987274,0.9965774271878811
3,0.068,0.7777777777777778,0.2,-1.1517762974631993,-1.011045060124232,0.1407312373389673,0.9881649900579925
3,0.068,1.0,0.2,-0.777188266680832,-0.5837077142110239,0.1934805524698081,0.9964958678118271
3,0.069,0.7777777777777778,0.2,-1.1744457641068569,-1.0335577233969202,0.14088804070993666,0.988507476363108
3,0.069,1.0,0.2,-0.8000112720290549,-0.6067143593770494,0.19329691265200544,0.9964187630377671
3,0.07,0.7777777777777778,0.2,-1.1972507681136633,-1.0562123794136136,0.1410383887000497,0.9888324007566103
3,0.07,1.0,0.2,-0.8232042332689294,-0.6300859300192865,0.19311830324964296,0.9963462483930178
3,0.071,0.7777777777777778,0.2,-1.2201892235493934,-1.0790065687282726,0.1411826548211208,0.989140935808842
3,0.071,1.0,0.2,-0.8467591214980686,-0.6538140680682879,0.19294505342978074,0.9962784123574894
3,0.072,0.7777777777777778,0.2,-1.2432590420599048,-1.1019378528521062,0.14132118920779857,0.9894341633752194
3,0.072,1.0,0.2,-0.8706675710161068,-0.677890138409714,0.1927774326063928,0.9962152992993822
3,0.073,0.7777777777777778,0.2,-1.2664581356365818,-1.1250038154650173,0.14145432017156456,0.9897130824244592
3,0.073,1.0,0.2,-0.8949209544145498,-0.7023053021159107,0.19261565229863908,0.9961569130402994
3,0.074,0.7777777777777778,0.2,-1.2897844192462777,-1.148202063607505,0.14158235563877275,0.989978616122034
3,0.074,1.0,0.2,-0.9195104536584935,-0.7270505847043441,0.19245986895414935,0.9961032208515899
3,0.075,0.7777777777777778,0.2,-1.313235813322718,-1.1715302288395526,0.1417055844831654,0.9902316182465096
3,0.075,1.0,0.2,-0.944427126261159,-0.7521169387387985,0.1923101875223605,0.996054157699376
3,0.076,0.7777777777777778,0.2,-1.3368102461175053,-1.1949859683553337,0.14182427776217166,0.9904728790074638
3,0.076,1.0,0.2,-0.9696619659173211,-0.7774953003481919,0.1921666655691292,0.9960096305776209
3,0.077,0.7777777777777778,0.2,-1.3605056559098323,-1.2185669660445368,0.14193868986529545,0.9907031303261741
3,0.077,1.0,0.2,-0.9952059572064899,-0.8031766394675725,0.19202931773891746,0.9959695227940926
3,0.078,0.7777777777777778,0.2,-1.3843199930749857,-1.2422709334929547,0.14204905958203096,0.9909230506334641
3,0.078,1.0,0.2,-1.021050124193175,-0.8291520038008365,0.1918981203923385,0.9959336981009627
3,0.079,0.7777777777777778,0.2,-1.408251222012604,-1.2660956109166062,0.14215561109599784,0.9911332692330161
3,0.079,1.0,0.2,-1.0471855729355246,-0.8554125566636711,0.19177301627185345,0.9959020045878499
3,0.08,0.7777777777777778,0.2,-1.432297322936344,-1.2900387680251157,0.1422585549112283,0.9913343702733562
3,0.08,1.0,0.2,-1.0736035280629288,-0.8819496089879798,0.19165391907494894,0.9958742782793798
3,0.081,0.7777777777777778,0.2,-1.4564562935273748,-1.3140982048113707,0.14235808871600408,0.9915268963669088
3,0.081,1.0,0.2,-1.100295363699068,-0.9087546458589681,0.1915407178400999,0.9958503464006142
3,0.082,0.7777777777777778,0.2,-1.4807261504546947,-1.3382717522655283,0.1424543981891664,0.9917113518904542
3,0.082,1.0,0.2,-1.1272526290911848,-0.9358193480156373,0.19143328107554752,0.9958300302918952
3,0.083,0.7777777777777778,0.2,-1.5051049307657356,-1.362557273012608,0.1425476577531275,0.991888205997751
3,0.083,1.0,0.2,-1.154467069362584,-0.9631356087801705,0.19133146058241352,0.9958131479692728
3,0.084,0.7777777777777778,0.2,-1.5295906931512644,-1.386952661873517,0.14263803127774732,0.9920578953717043
3,0.084,1.0,0.2,-1.1819306418379096,-0.990695546894884,0.19123509494302554,0.9957995163382617
3,0.085,0.7777777777777778,0.2,-1.5541815190887998,-1.4114558463503362,0.1427256727384636,0.9922208267407223
3,0.085,1.0,0.2,-1.209635528402943,-1.018491515742252,0.19114401266069098,0.995788953076994
3,0.086,0.7777777777777778,0.2,-1.5788755138692514,-1.4360647870371144,0.14281072683213702,0.9923773791813575
3,0.086,1.0,0.2,-1.2375741443577017,-1.0465161094076483,0.19105803495005347,0.9957812782109721
3,0.087,0.7777777777777778,0.2,-1.6036708075115378,-1.460777477958076,0.1428933295534618,0.9925279062269664
3,0.087,1.0,0.2,-1.2657391442061838,-1.0747621660195021,0.1909769781866817,0.9957763154051182
3,0.088,0.7777777777777778,0.2,-1.6285655555702698,-1.4855919468355234,0.1429736087347464,0.9926727378002916
3,0.088,1.0,0.2,-1.2941234248024251,-1.1032227687705587,0.19090065603186646,0.9957738930009077
3,0.089,0.7777777777777778,0.2,-1.6535579398415572,-1.5105062552900166,0.1430516845515406,0.9928121819859208
3,0.089,1.0,0.2,-1.322720126242855,-1.1318912449894016,0.19082888125345332,0.9957738448269118
3,0.09,0.7777777777777778,0.2,-1.6786461689721976,-1.5355184989757895,0.14312766999640814,0.9929465266570707
